src/core/ngx_thread_pool.c, NGX_LOG_ERR, thread pool  queue overflow:  tasks waiting
src/core/ngx_cycle.c, NGX_LOG_ERR, invalid PID number %*s in
src/core/ngx_proxy_protocol.c, NGX_LOG_ERR, broken header: %*s
src/core/ngx_proxy_protocol.c, NGX_LOG_ERR, unknown PROXY protocol version:
src/core/ngx_proxy_protocol.c, NGX_LOG_ERR, header is too large
src/core/ngx_proxy_protocol.c, NGX_LOG_ERR, invalid PROXY protocol TLV
src/core/ngx_proxy_protocol.c, NGX_LOG_ERR, unknown PROXY protocol TLV
src/core/ngx_proxy_protocol.c, NGX_LOG_ERR, broken PROXY protocol TLV
src/mail/ngx_mail_auth_http_module.c, NGX_LOG_ERR, auth http server  timed out
src/mail/ngx_mail_auth_http_module.c, NGX_LOG_ERR, auth http server  sent invalid response
src/mail/ngx_mail_auth_http_module.c, NGX_LOG_ERR, auth http server  did not send server or port
src/mail/ngx_mail_auth_http_module.c, NGX_LOG_ERR, auth http server  did not send password
src/mail/ngx_mail_auth_http_module.c, NGX_LOG_ERR, auth http server  sent invalid server                                address:
src/mail/ngx_mail_auth_http_module.c, NGX_LOG_ERR, auth http server  sent invalid server                                port:
src/mail/ngx_mail_auth_http_module.c, NGX_LOG_ERR, auth http server  sent invalid header in response
src/mail/ngx_mail_smtp_handler.c, NGX_LOG_ERR, could not be resolved (: )
src/mail/ngx_mail_proxy_module.c, NGX_LOG_ERR, no password available
src/mail/ngx_mail_proxy_module.c, NGX_LOG_ERR, could not send PROXY protocol header at once
src/mail/ngx_mail_proxy_module.c, NGX_LOG_ERR, upstream sent too long response line:
src/mail/ngx_mail_proxy_module.c, NGX_LOG_ERR, upstream sent invalid response:
src/stream/ngx_stream_limit_conn_module.c, NGX_LOG_ERR, the value of the  key                            is more than 255 bytes:
src/stream/ngx_stream_access_module.c, NGX_LOG_ERR, access forbidden by rule
src/stream/ngx_stream_core_module.c, NGX_LOG_ERR, preread buffer full
src/stream/ngx_stream_variables.c, NGX_LOG_ERR, cycle while evaluating variable
src/stream/ngx_stream_proxy_module.c, NGX_LOG_ERR, no port in upstream
src/stream/ngx_stream_proxy_module.c, NGX_LOG_ERR, no resolver defined to resolve
src/stream/ngx_stream_proxy_module.c, NGX_LOG_ERR, in upstream
src/stream/ngx_stream_proxy_module.c, NGX_LOG_ERR, invalid local address
